,title,full_text,reference,asset_class,page_number,financial_crime_category
0,Cosco shares – placing buy and sell orders through personal account,"Lee entered five buy orders through his personal account for shares in Cosco Corporation (S) Ltd ('Cosco'), during the Singapore Exchange Pre-Open Phase. The buy orders were priced between $3.38 and $3.48, totalling 1.1 million shares, and represented 62.7% of all buy side volume at the 20 best bid prices for Cosco shares at the time. At the same time, Lee also placed a sell order for 100,000 Cosco shares at $3.35. Lee deleted the buy orders just before the opening price for Cosco shares was determined at 8:59 a.m. Lee admitted that he had no intention of fulfilling the buy orders but had entered them to create a favourable environment to fulfil his sell order at $3.35. Price manipulation covers behaviours, including entering into transactions or placing orders, which improperly influence, or attempt to influence, the price of securities or derivatives.","Monetary Authority of Singapore, 2013, in the matter of Lee Wee Soon",Equities,15,Price manipulation
1,Swift Trade – layering to give false and misleading impression of supply and demand on London Stock Exchange,"Swift Trade engaged in layering. This caused a succession of small price movements in a wide range of shares on the London Stock Exchange from which Swift Trade was able to profit. The trading activity involved tens of thousands of orders, was repeated on many occasions and was conducted in many different shares. Swift Trade placed the large orders in order to give a false and misleading impression of supply and demand. The large orders were not intended to be executed. They were placed close enough to the touch price (i.e. the best existing bid/offer) to give a false and misleading impression of supply and demand, but far enough away to minimise the risk that they would be executed. They were deleted in seconds in order to further minimise the risk that they would be executed. The trading activity caused many individual share prices to be positioned at an artificial level, from which Swift Trade profited directly.","FCA, 2015, in the matter of Swift Trade",Equities,16,Price manipulation
2,Inter-dealing trading platform – misleading other market participants,"At the relevant time, Trader A was a bond trader. The FCA found that across a period of two months, Trader A carried out a strategy of entering quotes on an inter-dealer trading platform in relation to six Dutch State Loans (DSLs). The FCA concluded that Trader A's quotes were designed to induce, and had the effect of inducing, other market participants who were tracking quotes to raise or lower their quotes so that he could benefit from those price movements. According to the FCA's findings, Trader A represented to the market an intention to buy when his true intention was to sell and represented an intention to sell when his true intention was to buy. When his intention was to sell, his misleading quotes, skewed to the highest bid, induced other market participants to raise their bids. When he wanted to buy, his misleading low offers induced others to lower their offers. Trader A then aggressed (traded by selling bonds into an existing bid or by buying from an existing offer) these bids or offers, thereby trading at a more advantageous price.","FCA, 2017, in the matter of Trader A",Rates and Credit,16,Price manipulation
3,Treasury futures – individual and coordinated spoofing,"The CFTC alleged that Brims and Gola engaged in a practice of spoofing in U.S. Treasury futures markets. According to the CFTC, their spoofing strategy involved placing bids or offers of 1,000 lots or more with the intent to cancel those orders before execution. The spoofing orders were placed in the U.S. Treasury futures markets after another smaller bid or offer was placed on the opposite side of the same or a correlated futures or cash market. This created the impression of greater buying or selling interest than would have existed absent the spoofing orders, and was done to induce other market participants to fill the smaller resting orders on the opposite side of the market from his spoofing orders in advance of anticipated price changes. Brims and Gola cancelled the spoofing orders after either the smaller resting orders had been filled or they believed that the spoofing orders were at too great a risk of being executed.

In addition to executing the spoofing strategy individually, at times, the actors coordinated with one or more other traders on the U.S. Treasury desk to implement the spoofing strategy. In some of those instances, the actors would place one or more spoofing orders after another trader had placed one or more smaller resting orders in the same or a correlated futures or cash market. In other instances, another trader would place spoofing orders to benefit the smaller resting orders.","CFTC, 2017, in the Matter of Jonathan Brims, in the Matter of Stephen Gola",Rates and Credit,17,Price manipulation
4,Spoofing and layering via algorithmic high frequency trading,"In 2009, Virtu Financial Europe (a high frequency trading company) operating for its own account on Euronext and four alternative trading platforms implemented a strategy of identifying the best price for a security on one platform, usually Euronext, then placing four passive orders at a slightly different price on four other platforms. Upon execution of one of the orders, which would result in a capital gain equal to the price difference, the company would cancel the three remaining orders. These interventions were carried out in a few milliseconds, and the company's algorithm entered and cancelled orders permanently on the different order books, according to the evolution of the best-posted prices.","AMF & Conseil d'Etat, 2015-2017, in the matter of Virtu",Equities,17,Price manipulation
5,Placing and cancelling large orders for Contracts for Differences ('CFDs'),"The FCA, using its supervisory technology ('SupTech') identified that an experienced trader, Corrado Abbattista had engaged in market abuse by creating a false and misleading impression as to the supply and demand for equities between 20 January and 15 May 2017. On several occasions, Abbattista placed large misleading orders for CFDs referenced to equities which he had no intention of executing. He would simultaneously place smaller orders that he did intend to execute on the opposite side of the order book to the misleading orders. The FCA's internal surveillance systems identified this behaviour by ingesting order book data from the leading UK equity trading venues and then running surveillance algorithms, designed to identify potentially abusive behaviours, across that consolidated data set.","FCA, 2020, in the matter of Corrado  Abbattista",Equities,18,Price manipulation
6,Misleading other market participants and spoofing,"The CFTC alleged that Firm A and two of its subsidiaries engaged in manipulative and deceptive conduct and spoofing from at least 2008 to 2016. The CFTC found that throughout this eight-year period, Firm A and two of its subsidiaries, through former traders on its precious metals and Treasuries trading desks, placed hundreds of thousands of spoof orders in precious metals and U.S. Treasury futures contracts on the Commodity Exchange, the New York Mercantile Exchange and the Chicago Board of Trade, with the intent to cancel these orders prior to execution. Through these spoof orders, the CFTC found that the former traders ""intentionally sen[t] false signals to supply or demand designed to deceive market participants into executing against other orders they wanted filled"". The CFTC found that, in many instances, the former traders intended to manipulate market prices and the spoof trades did lead to artificial prices.","CFTC, 2020, in the matter of Firm A and two of its subsidiaries",Commodities,18,Price manipulation
7,Spoofing and layering – fuel oil contract prices,"In March 2021, Emilio Jose Heredia Collado pled guilty to charges that between 2012 and 2016, he had conspired with other employees at an oil trading company to manipulate the price of fuel oil contracts purchased from and sold to a counterparty. According to the guilty plea, Heredia directed his co-conspirators to submit orders to buy and sell fuel oil during a specific window with the intent to artificially inflate or deflate the benchmark price assessment set by an intermediary for the fuel oil contracts. For example, if Heredia's oil trading company had a contract to buy fuel from another company, he would direct his co-conspirators to submit offers for the sole purpose of decreasing the price estimate for that oil, which allowed Heredia and his co-conspirators to obtain illicit profits by paying a lower price to the counterparty under the contract.","US, 2021, in the matter of Heredia Collado",Commodities,18,Price manipulation
8,Treasury options and futures – igniting price momentum,"Catalfo and Zimmerman bought Chicago Board of Trade Treasury bond put options and sold Treasury bond futures in very large volumes with the intention of providing a negative signal to the market and igniting a momentum price decline. Catalfo and Zimmerman timed their trades with the release of the Department of Labor's unemployment statistics. In the first nine minutes of trading they bought 4,100 puts. Shortly after, bond prices began to plummet and Catalfo and Zimmerman sold their positions to make a sizeable profit.","US, 1996, in the matter of Catalfo",Rates and Credit,19,Price manipulation
9,Shares and CFDs – artificial increase in trading price,"ASIC found that Heath had ramped prices to induce investor participation by circular trading and using spoof bids and offers. Heath traded in shares and CFDs in four resource companies through nine separate share trading and CFD trading accounts. Between 2 July 2012 and 11 October 2013, Heath executed 30 simultaneous buy and sell transactions involving shares and CFDs relating to the resource companies which had the effect of artificially increasing the price for trading in those shares on the ASX. These trades, commonly referred to as 'matched trades', caused an increase to the price of shares traded on the ASX of between 3.1% and 6.9%.","ASIC, 2015, in the matter of Derek Heath",Equities,19,Price manipulation
